MFGR#11,ASIA,1253643
MFGR#12,ASIA,1209254
MFGR#13,ASIA,1240702
MFGR#14,ASIA,1235997
MFGR#15,ASIA,1226244
MFGR#21,ASIA,1210582
MFGR#22,ASIA,1220843
MFGR#23,ASIA,1251832
MFGR#24,ASIA,1233379
MFGR#25,ASIA,1218330
MFGR#31,ASIA,1225309
MFGR#32,ASIA,1246232
MFGR#33,ASIA,1231474
MFGR#34,ASIA,1216353
MFGR#35,ASIA,1254945
MFGR#41,ASIA,1238911
MFGR#42,ASIA,1238541
MFGR#43,ASIA,1226229
MFGR#44,ASIA,1220960
MFGR#45,ASIA,1226575
MFGR#51,ASIA,1238986
MFGR#52,ASIA,1224493
MFGR#53,ASIA,1230699
MFGR#54,ASIA,1255380
MFGR#55,ASIA,1218982
