1,78907,68930,49973,64352,80633,46362,79189
2,84470,80116,73259,77609,76406,42911,81744
3,83824,46913,86064,81370,78968,78630,83381
4,87708,44144,79238,77636,43163,81791,79419
5,89631,87867,79643,85176,86672,78630,81433
6,49361,50364,79131,86297,77279,40488,82227
7,76254,81394,84105,75758,81493,76453,82637
8,87182,78550,46307,86786,83994,76280,41439
9,87414,88450,38579,88200,89595,84471,84607
10,85640,89839,44877,78636,85554,46049,45600
11,91099,86367,75498,45376,90465,85268,81015
12,47330,84047,76465,82726,82700,47477,44585
13,90640,84810,84923,82220,83649,44893,39579
14,85443,77130,43355,45823,49838,86164,77602
15,86293,89766,45257,45013,50510,85782,88054
16,86867,82311,44852,48691,90199,84393,44552
17,91039,80459,44812,46070,86808,85689,85839
18,50363,86669,80347,84783,50419,42483,86543
19,82179,47675,81530,78428,80347,75701,76902
20,45407,74468,37967,80663,82720,38146,81586
21,49574,73599,39916,45205,75636,40623,79476
22,75318,77049,40643,78057,78467,39350,40619
23,43002,88874,80105,43617,86085,82061,75866
24,45833,41121,45574,38766,85989,86133,41673
25,87255,47113,82291,87602,85910,87763,84466
26,88611,47196,45909,80046,48749,81804,87291
27,85803,46475,85219,84628,85868,82012,46342
28,47658,90820,80900,87110,48748,45347,85113
29,47014,85502,46717,44757,83558,46471,45538
30,85876,85053,46475,81313,83081,45388,86911
