MFGR#11,INDONESIA0,23723
MFGR#12,INDONESIA0,24086
MFGR#13,INDONESIA0,24534
MFGR#14,INDONESIA0,24067
MFGR#15,INDONESIA0,23967
MFGR#21,INDONESIA0,23277
MFGR#22,INDONESIA0,24443
MFGR#23,INDONESIA0,24318
MFGR#24,INDONESIA0,24823
MFGR#25,INDONESIA0,22929
MFGR#31,INDONESIA0,21630
MFGR#32,INDONESIA0,24434
MFGR#33,INDONESIA0,23610
MFGR#34,INDONESIA0,23551
MFGR#35,INDONESIA0,24597
MFGR#41,INDONESIA0,24448
MFGR#42,INDONESIA0,23836
MFGR#43,INDONESIA0,23208
MFGR#44,INDONESIA0,23490
MFGR#45,INDONESIA0,24459
MFGR#51,INDONESIA0,24221
MFGR#52,INDONESIA0,23361
MFGR#53,INDONESIA0,24627
MFGR#54,INDONESIA0,25852
MFGR#55,INDONESIA0,24363
