MFGR#11,ASIA,12267888
MFGR#12,ASIA,12274846
MFGR#13,ASIA,12347138
MFGR#14,ASIA,12292802
MFGR#15,ASIA,12313649
MFGR#21,ASIA,12170317
MFGR#22,ASIA,12257361
MFGR#23,ASIA,12338984
MFGR#24,ASIA,12334424
MFGR#25,ASIA,12278293
MFGR#31,ASIA,12328634
MFGR#32,ASIA,12280573
MFGR#33,ASIA,12236036
MFGR#34,ASIA,12353728
MFGR#35,ASIA,12420742
MFGR#41,ASIA,12440631
MFGR#42,ASIA,12331481
MFGR#43,ASIA,12359778
MFGR#44,ASIA,12265694
MFGR#45,ASIA,12140109
MFGR#51,ASIA,12297124
MFGR#52,ASIA,12133905
MFGR#53,ASIA,12416151
MFGR#54,ASIA,12402351
MFGR#55,ASIA,12224928
