MFGR#11,ASIA,INDONESIA,2510744
MFGR#12,ASIA,INDONESIA,2511611
MFGR#13,ASIA,INDONESIA,2515280
MFGR#14,ASIA,INDONESIA,2517839
MFGR#15,ASIA,INDONESIA,2510856
MFGR#21,ASIA,INDONESIA,2499922
MFGR#22,ASIA,INDONESIA,2514327
MFGR#23,ASIA,INDONESIA,2523966
MFGR#24,ASIA,INDONESIA,2531245
MFGR#25,ASIA,INDONESIA,2518422
MFGR#31,ASIA,INDONESIA,2516513
MFGR#32,ASIA,INDONESIA,2517758
MFGR#33,ASIA,INDONESIA,2482057
MFGR#34,ASIA,INDONESIA,2518887
MFGR#35,ASIA,INDONESIA,2539371
MFGR#41,ASIA,INDONESIA,2538560
MFGR#42,ASIA,INDONESIA,2522949
MFGR#43,ASIA,INDONESIA,2521765
MFGR#44,ASIA,INDONESIA,2500586
MFGR#45,ASIA,INDONESIA,2484616
MFGR#51,ASIA,INDONESIA,2514251
MFGR#52,ASIA,INDONESIA,2489198
MFGR#53,ASIA,INDONESIA,2548045
MFGR#54,ASIA,INDONESIA,2545423
MFGR#55,ASIA,INDONESIA,2498484
