Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Evaluation of Data Management Systems for Geospatial Big Data","Computational Science and Its Applications – ICCSA 2014","","","","10.1007/978-3-319-09156-3_47","Pouria AmirianAnahid BasiriAdam Winstanley","2014","http://link.springer.com/chapter/10.1007/978-3-319-09156-3_47","Chapter"
"MHB-Tree: A Distributed Spatial Index Method for Document Based NoSQL Database System","Ubiquitous Information Technologies and Applications","","","","10.1007/978-94-007-5857-5_53","Yan LiGyoungBae KimLongRi WenHaeYoung Bae","2013","http://link.springer.com/chapter/10.1007/978-94-007-5857-5_53","Chapter"
"Evaluating Redundancy and Partitioning of Geospatial Data in Document-Oriented Data Warehouses","Big Data Analytics and Knowledge Discovery","","","","10.1007/978-3-030-27520-4_16","Marcio FerroRinaldo LimaRobson Fidalgo","2019","http://link.springer.com/chapter/10.1007/978-3-030-27520-4_16","Chapter"
"Performance Analysis on Voluntary Geographic Information Systems with Document-Based NoSQL Database","Developments and Advances in Intelligent Systems and Applications","","","","10.1007/978-3-319-58965-7_13","Daniel Cosme Mendonça MaiaBreno D. C. CamargosMaristela Holanda","2018","http://link.springer.com/chapter/10.1007/978-3-319-58965-7_13","Chapter"
"Assessing NoSql Approaches for Spatial Big Data Management","Advanced Intelligent Systems for Sustainable Development (AI2SD’2019)","","","","10.1007/978-3-030-33103-0_6","El Hassane NassifHajji HichamReda YaagoubiHassan Badir","2020","http://link.springer.com/chapter/10.1007/978-3-030-33103-0_6","Chapter"
"Location-Aware WBAN Data Monitoring System Based on NoSQL","Advances in Computer Science and Ubiquitous Computing","","","","10.1007/978-981-10-0281-6_13","Yan LiByeong-Seok Shin","2015","http://link.springer.com/chapter/10.1007/978-981-10-0281-6_13","Chapter"
"Comparative Performance Evaluation of Relational and NoSQL Databases for Spatial and Mobile Applications","Database and Expert Systems Applications","","","","10.1007/978-3-319-22849-5_14","Pedro O. SantosMirella M. MoroClodoveu A. Davis Jr.","2015","http://link.springer.com/chapter/10.1007/978-3-319-22849-5_14","Chapter"
"Integration of Relational and NoSQL Databases","Intelligent Information and Database Systems","","","","10.1007/978-3-319-75420-8_4","Jaroslav Pokorný","2018","http://link.springer.com/chapter/10.1007/978-3-319-75420-8_4","Chapter"
"SQL or NoSQL? Contrasting Approaches to the Storage, Manipulation and Analysis of Spatio-temporal Online Social Network Data","Computational Science and Its Applications – ICCSA 2014","","","","10.1007/978-3-319-09144-0_16","Adrian Tear","2014","http://link.springer.com/chapter/10.1007/978-3-319-09144-0_16","Chapter"
"Study of NoSQL Databases for Storing and Analyzing Traffic Data","Proceedings of 2nd International Conference on Communication, Computing and Networking","","","","10.1007/978-981-13-1217-5_56","Mankirat KaurSarbjeet SinghNaveen Aggarwal","2019","http://link.springer.com/chapter/10.1007/978-981-13-1217-5_56","Chapter"
"Towards NoSQL Graph Data Warehouse for Big Social Data Analysis","Intelligent Systems Design and Applications","","","","10.1007/978-3-319-53480-0_95","Hajer AkidMounir Ben Ayed","2017","http://link.springer.com/chapter/10.1007/978-3-319-53480-0_95","Chapter"
