"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Testing Spatial Data Deliverance in SQL and NoSQL Database Using NodeJS Fullstack Web App","D. Laksono","Department of Geodetic Engineering, Faculty of Engineering Universitas Gadjah Mada, Yogyakarta, Indonesia","2018 4th International Conference on Science and Technology (ICST)","11 Nov 2018","2018","","","1","5","During the last decade, we saw an explosion of geospatial data being produced. Most of which coming from GPS-enabled devices available for general consumers. The large amount of geotagged data coined the term `Geospatial Big Data', indicating the semi-structured and unstructured nature of such data. SQL relational databases have been known in the past to handle geospatial data very well. However, the abundance of geospatial big data pushed forward the need for NoSQL database which is expected to perform better in terms of handling and storing geospatial big data. This paper discusses the quantitative comparison of performance between the SQL (i.e., PostGIS) and NoSQL (i.e., MongoDB) databases in handling geospatial big data. A NodeJS-based angular-framework web app was developed to test the real-world performance of MongoDB and PostGIS in handling a large amount of simulated geospatial data. A different number of points were generated for testing the geospatial data storing and loading capability of both the databases. The test was conducted by comparing the result of XHR (XML HTTP Request) of both databases in each case. The result showed that NoSQL database, i.e. MongoDB, performs better in loading big geospatial data compared to traditional SQL database using PostGIS.","","978-1-5386-5813-0","10.1109/ICSTC.2018.8528705","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8528705","NoSQL;MongoDB;PostGIS","Spatial databases;Geospatial analysis;NoSQL databases;Testing;Big Data;Loading","Big Data;data analysis;geographic information systems;Global Positioning System;relational databases;SQL;visual databases;Web sites;XML","NoSQL database;geotagged data;SQL relational databases;geospatial data storing;loading big geospatial data;SQL database;NodeJS-based angular-framework Web app;NodeJS fullstack Web app;geospatial Big Data;testing spatial data deliverance;GPS-enabled devices;XHR;XML HTTP request;MongoDB;PostGIS","","2","","12","","11 Nov 2018","","","IEEE","IEEE Conferences"
"Research on the Construction of Data Management System of Massive Satellite Images","H. Wang; X. Tang; S. Shi; F. Ye","Satellite Surveying and Mapping Application Center, National Administration of Surveying, Mapping and Geoinformation, China; Satellite Surveying and Mapping Application Center, National Administration of Surveying, Mapping and Geoinformation, China; Satellite Surveying and Mapping Application Center, National Administration of Surveying, Mapping and Geoinformation, China; Satellite Surveying and Mapping Application Center, National Administration of Surveying, Mapping and Geoinformation, China","2018 International Workshop on Big Geospatial Data and Data Science (BGDDS)","27 Jan 2019","2018","","","1","4","With the rapid development of aerospace remote sensing technologies, enormous challenges have been brought to the storage organization and high-effective management of the massive satellite images. By analyzing the big-data characteristics of the satellite images, this paper introduced and constructed the distributed database based on cluster storage system with regard to the selection of storage system types, the design of database models and the development of the management system. Focusing on solving the problems, such as the low-speed of imagery big data archiving, inadequate performance of query service and the inefficiency of statistics and analysis, this paper conducted the research on the multi-processor parallel archiving, relation queries on JSON and fast statistics analysis method of grid imagery coverage, and achieved the massive satellite image management with the daily data increment of terabytes and the annual increment of petabytes of data.","","978-1-5386-1437-2","10.1109/BGDDS.2018.8626845","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8626845","Satellite image;cluster storage system;distributed database;parallel computation;NoSQL","Satellites;Distributed databases;Remote sensing;Big Data;Sensors;Computer architecture","aerospace computing;artificial satellites;Big Data;data analysis;distributed databases;image processing;meta data;query processing;statistical analysis","distributed database;cluster storage system;storage system types;database models;imagery big data archiving;massive satellite image management;data management system;aerospace remote sensing technologies;storage organization;big-data characteristics;multiprocessor parallel archiving;relation queries;fast statistics analysis method;grid imagery coverage","","1","","7","","27 Jan 2019","","","IEEE","IEEE Conferences"
"Fast and Efficient Cluster Based Map for Ship Tracking","A. M. A. M. Akbar; I. K. E. Purnama; S. M. S. Nugroho; M. Hariadi","Department of Electrical Engineering, Institut Teknologi Sepuluh Nopember, Surabaya, Indonesia; Department of Computer Engineering, Institut Teknologi Sepuluh Nopember, Surabaya, Indonesia; Department of Computer Engineering, Institut Teknologi Sepuluh Nopember, Surabaya, Indonesia; Department of Computer Engineering, Institut Teknologi Sepuluh Nopember, Surabaya, Indonesia","2018 International Conference on Computer Engineering, Network and Intelligent Multimedia (CENIM)","13 May 2019","2018","","","265","269","Automatic Identification System (AIS) is a system designed to improve maritime security by enabling the ship navigator to view the identity, position, and direction of other ships nearby. AIS data can be used to monitor ship activities. AIS data send simultaneously from multiple ship at very fast intervals. With the increased amount of data received, the performance of data retrieval using traditional RDBMS often decreased significantly. Also, storing geospatial data in traditional RDBMS or NoSQL lead to persistence of data, which is not required when tracking ship position, as majority of ship always moving. The increased amount of ship shown in monitoring map make it less informative, hence affecting users who use monitoring system. This paper proposes a fast cluster-based method to store and query AIS geospatial information using Redis and also maps it as a cluster into a web-based map to provide a faster and more efficient display.","","978-1-5386-7509-0","10.1109/CENIM.2018.8710934","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8710934","AIS;Automatic Identification System;Ship Tracking;Server side cluster;Geohash;Redis","Marine vehicles;Artificial intelligence;Geospatial analysis;Monitoring;Continents;Indexes;Servers","Internet;marine engineering;marine safety;monitoring;object tracking;pattern clustering;relational databases;ships","fast cluster based map;ship tracking;maritime security;ship navigator;ships;AIS data;ship activities;multiple ship;data retrieval;geospatial data;tracking ship position;monitoring map;fast cluster-based method;AIS geospatial information;web-based map;automatic identification system;RDBMS","","1","","15","","13 May 2019","","","IEEE","IEEE Conferences"
"GeoYCSB: A Benchmark Framework for the Performance and Scalability Evaluation of NoSQL Databases for Geospatial Workloads","S. Kim; Y. S. Kanwar","San José State University,Department of Computer Science,San Jose,CA,USA; San José State University,Department of Computer Science,San Jose,CA,USA","2019 IEEE International Conference on Big Data (Big Data)","24 Feb 2020","2019","","","3666","3675","The proliferation of geospatial applications has tremendously increased the variety, velocity, and volume of spatial data that data stores have to manage. Traditional relational databases reveal limitations in handling such big geospatial data, mainly due to their rigid schema requirements and limited scalability. Numerous NoSQL databases have emerged and actively serve as alternative data stores for big spatial data. Benchmarks play a crucial role in evaluating NoSQL databases and provide decision-makers with trustworthy information to choose the most suitable data store for applications. In this study, we present a framework to evaluate the performance and scalability of geospatial NoSQL databases, called GeoYCSB. We extend YCSB, a de facto benchmark framework for NoSQL systems, by integrating new components to its design architecture and also by implementing geospatial workloads. We use GeoYCSB to evaluate two leading document stores, MongoDB and Couchbase, which support geospatial queries. GeoYCSB is extensible and can be used to evaluate any NoSQL databases for geospatial workloads, provided they support spatial queries.","","978-1-7281-0858-2","10.1109/BigData47090.2019.9005570","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9005570","Big Geospatial Data;Geospatial Query;Benchmark;Performance Evaluation;Scalability;NoSQL Databases;MongoDB;Couchbase","Geospatial analysis;NoSQL databases;Benchmark testing;Scalability;Servers;Indexes;Big Data","Big Data;data analysis;geographic information systems;NoSQL databases;query processing;relational databases;visual databases","GeoYCSB;NoSQL systems;geospatial NoSQL databases;big spatial data;geospatial data;relational databases;geospatial workloads;geospatial queries","","","","20","","24 Feb 2020","","","IEEE","IEEE Conferences"
"Performance Analysis of RDBMS and No SQL Databases: PostgreSQL, MongoDB and Neo4j","M. Sharma; V. D. Sharma; M. M. Bundele","Department of Computer Engineering, Poornima University, Jaipur, India; Software Department, ARRK Solutions Pvt. Ltd., Navi Mumbai; Department of Computer Engineering, Poornima University, Jaipur, India","2018 3rd International Conference and Workshops on Recent Advances and Innovations in Engineering (ICRAIE)","9 May 2019","2018","","","1","5","In this smart phone era, geospatial data plays the vital role in developing various citizen centric services for sustainable development of the society such as developing the smart cities, disaster management services and locating basic amenities such as schools, hospitals, Railway Stations, banks etc. People are generating geo tagged data on various social media websites like face book, twitter etc. which can be considered as big data due to acquiring major three attribute volume, variety and velocity of big data. Multiple sources are generating voluminous, heterogenous data which can't be fit into a predefined structure. Also, the applications based on these data require higher through put time. Managing Such a huge amount of data is really challenging. This geotagged data needs to be handled using big data management techniques like No SQL rather than traditional Relational Data Base Management System. Selection of appropriate type of No SQL Database is an important activity before developing any Geographical Information System based application. In this paper we tried to find out suitable No SQL data base for GIS application. This paper compares the performance of MongoDB and Neo4j in case of search queries executed on geotagged data.","","978-1-5386-4525-3","10.1109/ICRAIE.2018.8710439","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8710439","Relational Data Base Management System;Geotagged;Geographical Information System;NoSQL;Graph Data Base;Document Based Data Base;MongoDB;Neo4j","Databases;Road transportation;Hospitals;Structured Query Language;Big Data;Data models;Java","Big Data;geographic information systems;government data processing;mobile computing;query processing;relational databases;smart phones;social networking (online);SQL;sustainable development","smart cities;disaster management services;geo tagged data;social media websites;voluminous data;heterogenous data;big data management techniques;smart phone era;geospatial data;citizen centric services;sustainable development;basic amenities;railway stations;geographical information system based application;traditional relational data base management system;No SQL databases;GIS application;MongoDB;Neo4j;search queries","","4","","10","","9 May 2019","","","IEEE","IEEE Conferences"
"Federating Web-Based Applications on a Hierarchical Cloud","D. Han; E. Stroulia","Dept. of Comput. Sci., Univ. of Alberta, Edmonton, AB, Canada; Dept. of Comput. Sci., Univ. of Alberta, Edmonton, AB, Canada","2014 IEEE 7th International Conference on Cloud Computing","4 Dec 2014","2014","","","946","947","Cloud-based infrastructures enable applications to collect and analyze massive amounts of data. Sometimes these applications are the product of green-field engineering, but frequently they are the product of the evolution of traditional RDBMS-based implementations. In any case, NoSQL databases, endowed with high availability, elasticity and scalability through their easy deployment on cloud-computing platforms, have become an attractive data-storage solution for these big-data applications. Unfortunately, to date, there is little methodological and tool support for migrating existing applications to these new platforms. In this paper, we describe a hybrid architecture for location-aware applications on hierarchical cloud, a methodology for mapping relational (including spatio-temporal) data to HBase, and a process for migrating legacy applications to the new architecture.","2159-6190","978-1-4799-5063-8","10.1109/CLOUD.2014.136","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6973842","Data Aggregation;Data Migration;Hierarchical Cloud;Geospatial Applications;Hadoop;Sqoop;Oozie","Computer architecture;Servers;Data warehouses;Aggregates;Cloud computing;Availability;Scalability","Big Data;cloud computing;database management systems;mobile computing","Web-based applications;hybrid architecture;location-aware applications;hierarchical cloud;relational data mapping;HBase;legacy applications migration process;data migration;NoSQL database;big-data","","4","","3","","4 Dec 2014","","","IEEE","IEEE Conferences"
"A New Methodology for Storing Consistent Fuzzy Geospatial Data in Big Data Environment","B. Khalfi; C. de Runz; S. Faiz; H. Akdag","LIASD, Paris 8 University, Paris, France; CReSTIC, University of Reims Champagne-Ardenne, Reims, France; LTSIRS, Tunis el Manar university, Tunis, Tunisia; LIASD, Paris 8 University, Paris, France","IEEE Transactions on Big Data","28 May 2021","2021","7","2","468","482","In this era of big data, as relational databases are inefficient, NoSQL databases are a workable solution for data storage. In this context, one of the key issues is the veracity and therefore the data quality. Indeed, as with classic data, geospatial big data are generally fuzzy even though they are stored as crisp data (perfect data). Hence, if data are geospatial and fuzzy, additional complexities appear because of the complex syntax and semantic features of such data. The NoSQL databases do not offer strict data consistency. Therefore, new challenges are needed to be overcome to develop efficient methods that simultaneously ensure the performance and the consistency in storing fuzzy geospatial big data. This paper presents a new methodology that tackles the storage issues and validates the fuzzy spatial entities’ consistency in a document-based NoSQL system. Consequently, first, to better express the structure of fuzzy geospatial data in such a system, we present a logical model called Fuzzy GeoJSON schema. Second, for consistent storage, we implement a schema-driven pipeline based on the Fuzzy GeoJSON schema and semantic constraints.","2332-7790","","10.1109/TBDATA.2017.2725904","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7974765","Spatial databases;data storage representations;schema and subschema;fuzzy set;imprecision;consistency;big data;NoSQL systems;JSON","Fuzzy sets;Geospatial analysis;Big Data;Data models;NoSQL databases;Spatial databases;Fuzzy set theory","","","","1","","43","IEEE","11 Jul 2017","","","IEEE","IEEE Journals"
"BIM Big Data Storage in WebVRGIS","Z. Lv; X. Li; H. Lv; W. Xiu","School of Data Science and Software Engineering, Qingdao University, Qingdao, China; Research Institute for Smart Cities, School of Architecture and Urban Planning, Shenzhen University, Shenzhen, China; North China Sea Offshore Engineering Survey Institute, Ministry of Natural Resources North Sea Bureau, Qingdao, China; Research and Development Center, Shenzhen Urban Public Safety and Technology Institute, Shenzhen, China","IEEE Transactions on Industrial Informatics","22 Jan 2020","2020","16","4","2566","2573","In the context of big data and the Internet of Things, with the advancement of geospatial data acquisition and retrieval, the volume of available geospatial data is increasing every minute. Thus, new data-management architecture is needed. We proposed a building information model (BIM) big data-storage-management solution with hybrid storage architecture based on web virtual reality geographical information system (WebVRGIS). BIM is associated with the integration of spatial and semantic information on the various stages of urban building. In this paper, based on the spatial distribution characteristics of BIM geospatial big data, a data storage and management model is proposed for BIM geospatial big data management. The architecture primarily includes Not only Structured Query Language (NoSQL) database and distributed peer-to-peer storage. The evaluation of the proposed storage method is conducted on the same software platform as our previous research about WebVR. The experimental results show that the hybrid storage architecture proposed in this research has a lower response time compared to the traditional relational database in geospatial big data searches. The integration and fusion of BIM big data in WebVRGIS realizes a revolutionary transformation of city information management during a full lifecycle. The system also has great promise for the storage of other geospatial big data, such as traffic data.","1941-0050","","10.1109/TII.2019.2916689","Natural Science Foundation of Shandong Province(grant numbers:ZR2017QF015); Science, Technology and Innovation Commission of Shenzhen Municipality(grant numbers:JCYJ20170412142239369); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8713581","Internet of things;building information model (BIM);big data;geographical information system (GIS)","Spatial databases;Data models;Big Data;NoSQL databases;Geospatial analysis;Semantics;Computer architecture","Big Data;building information modelling;data acquisition;distributed databases;geographic information systems;information retrieval;Internet;Internet of Things;peer-to-peer computing;software architecture;virtual reality","BIM big data storage;WebVRGIS;geospatial data acquisition;available geospatial data;data-management architecture;building information model;big data-storage-management solution;hybrid storage architecture;web virtual reality geographical information system;spatial information;semantic information;spatial distribution characteristics;management model;BIM geospatial big data management;Structured Query Language database;distributed peer-to-peer storage;storage method;geospatial big data searches;city information management;traffic data","","16","","19","IEEE","13 May 2019","","","IEEE","IEEE Journals"
"The Application on distributed geospatial data management based on Hadoop and the application in WebGIS","J. Huang; J. Zhao; Y. Guo; X. Mao; WuRenShaNa; J. Wang","Data Company Of XinJiang Oilfield Company, Karamay,Xinjiang Uygur Autonomous Region,China; Data Company Of XinJiang Oilfield Company, Karamay,Xinjiang Uygur Autonomous Region,China; Data Company Of XinJiang Oilfield Company, Karamay,Xinjiang Uygur Autonomous Region,China; Data Company Of XinJiang Oilfield Company, Karamay,Xinjiang Uygur Autonomous Region,China; Data Company Of XinJiang Oilfield Company, Karamay,Xinjiang Uygur Autonomous Region,China; Wuhan University,School of Geodesy and Geomatics,Wuhan,China","2021 9th International Conference on Agro-Geoinformatics (Agro-Geoinformatics)","8 Sep 2021","2021","","","1","4","GIS spatial big data presents the characteristics of massive, multi-source, heterogeneous, spatiotemporal, multiscale. The traditional GIS data storage technology can not meet the needs of GIS spatial big data management. In this paper, for the construction of lightweight WebGIS management system of Oilfield Engineering, aiming at the application requirements of 2D and 3D vector data in security, fault tolerance and scalability, the application strategy of distributed spatial data management technology in cloud environment is proposed, which has made progress in the aspects of high concurrent access of spatial data, fast data loading and high efficiency operation.","","978-1-7281-6561-5","10.1109/Agro-Geoinformatics50104.2021.9530350","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9530350","Hadoop;WebGIS;Distributed Geospatial Data Management","Three-dimensional displays;Scalability;NoSQL databases;Distributed databases;Memory;Big Data;Spatial databases","","","","","","13","","8 Sep 2021","","","IEEE","IEEE Conferences"
"Analyzing big ocean science data with NEXUS","F. R. Greguska; T. Huang; B. Wilson; N. Quach; J. Jacob","Jet Propulsion Laboratory, California Institute of Technology, Pasadena, USA; Jet Propulsion Laboratory, California Institute of Technology, Pasadena, USA; Jet Propulsion Laboratory, California Institute of Technology, Pasadena, USA; Jet Propulsion Laboratory, California Institute of Technology, Pasadena, USA; Jet Propulsion Laboratory, California Institute of Technology, Pasadena, USA","2017 IEEE International Conference on Big Data (Big Data)","15 Jan 2018","2017","","","4750","4750","NEXUS is a software project developed by the NASA Jet Propulsion Laboratory which aims to enable scientific analysis of large datasets collected by various NASA missions. Historically, data analysis required an analyst to move the data to the system computing the analysis. As the volume of data available increases, the storage, CPU, and memory requirements for this type of traditional analysis increases to a point that makes it impractical. The NEXUS approach is to remove this data movement, transform the data into a format convenient for analysis, and provide analytic functions that can be massively parallelized.","","978-1-5386-2715-0","10.1109/BigData.2017.8258530","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8258530","","NASA;NoSQL databases;Geospatial analysis;Propulsion;Software;Memory management","Big Data;data analysis;geophysics computing;oceanography","CPU;data analysis;NASA missions;datasets;scientific analysis;NASA Jet Propulsion Laboratory;software project;big ocean science data;data movement;NEXUS approach;traditional analysis increases;memory requirements;data available increases;system computing;analyst","","","","4","","15 Jan 2018","","","IEEE","IEEE Conferences"
