Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Lagraa, S., State, R.","37081045600;57193765428;","What database do you choose for heterogeneous security log events analysis?",2021,"Proceedings of the IM 2021 - 2021 IFIP/IEEE International Symposium on Integrated Network Management",,,"9463953","812","817",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113625060&partnerID=40&md5=af77254e6d950077ca020852dfd27aab",Conference Paper,"Final","",Scopus,2-s2.0-85113625060
"Ceresnak, R., Matiasko, K., Dudas, A.","57210554509;24438346400;57203119790;","Improvement of Data Searching in MongoDB with the Use of Oracle Database",2021,"18th IEEE International Multi-Conference on Systems, Signals and Devices, SSD 2021",,,"9429468","1388","1393",,,"10.1109/SSD52085.2021.9429468","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107466379&doi=10.1109%2fSSD52085.2021.9429468&partnerID=40&md5=2631535e2b27bf677456622533130a2b",Conference Paper,"Final","",Scopus,2-s2.0-85107466379
"Majdoubi, A., El Abderrahmani, A., Lasri, R.","57221984116;56705432100;48661091800;","Smart environmental data management system into a cattle building",2021,"E3S Web of Conferences","234",,"00033","","",,,"10.1051/e3sconf/202123400033","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100852661&doi=10.1051%2fe3sconf%2f202123400033&partnerID=40&md5=3b04296029aa906c05a18071858d7015",Conference Paper,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85100852661
"Suarez-Otero, P., Mior, M.J., Jose Suarez-Cabal, M., Tuya, J.","57202453352;42561437500;8444075100;6603310027;","Maintaining NoSQL Database Quality during Conceptual Model Evolution",2020,"Proceedings - 2020 IEEE International Conference on Big Data, Big Data 2020",,,"9378228","2043","2048",,,"10.1109/BigData50022.2020.9378228","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103828029&doi=10.1109%2fBigData50022.2020.9378228&partnerID=40&md5=483ef42a4ad09882b23f6885754a820f",Conference Paper,"Final","",Scopus,2-s2.0-85103828029
"Ravat, F., Song, J., Teste, O., Trojahn, C.","6603741650;56347104900;6505857335;23490756200;","Efficient querying of multidimensional RDF data with aggregates: Comparing NoSQL, RDF and relational data stores",2020,"International Journal of Information Management","54",,"102089","","",,1,"10.1016/j.ijinfomgt.2020.102089","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086517564&doi=10.1016%2fj.ijinfomgt.2020.102089&partnerID=40&md5=b05e961c93b6b5b0d7eb7900713c493c",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85086517564
"Kim, H.-J., Ko, E.-J., Jeon, Y.-H., Lee, K.-H.","57196275111;57196275275;57202946200;56094984700;","Techniques and guidelines for effective migration from RDBMS to NoSQL",2020,"Journal of Supercomputing","76","10",,"7936","7950",,2,"10.1007/s11227-018-2361-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068327456&doi=10.1007%2fs11227-018-2361-2&partnerID=40&md5=886be25317cb7b7d8d7391b575f6f4db",Article,"Final","",Scopus,2-s2.0-85068327456
"Song, J., He, H., Thomas, R., Bao, Y., Yu, G.","55276320800;57189996789;57217314644;8864041400;7403528989;","Haery: A Hadoop Based Query System on Accumulative and High-Dimensional Data Model for Big Data",2020,"IEEE Transactions on Knowledge and Data Engineering","32","7","8664133","1362","1377",,3,"10.1109/TKDE.2019.2904056","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062986472&doi=10.1109%2fTKDE.2019.2904056&partnerID=40&md5=dafc026fceeef7ecde6ed6b0cea789a0",Article,"Final","",Scopus,2-s2.0-85062986472
"Khasawneh, T.N., Al-Sahlee, M.H., Safia, A.A.","57216853144;57216862725;57216853146;","SQL, NewSQL, and NOSQL Databases: A Comparative Survey",2020,"2020 11th International Conference on Information and Communication Systems, ICICS 2020",,,"9078970","13","21",,10,"10.1109/ICICS49469.2020.239513","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085021659&doi=10.1109%2fICICS49469.2020.239513&partnerID=40&md5=a819ff5085107d653d8efffcf2eda777",Conference Paper,"Final","",Scopus,2-s2.0-85085021659
"ElDahshan, K., Elsayed, E.K., Mancy, H.","36967841100;56711014000;57214818097;","Enhancement Semantic Prediction Big Data Method for COVID-19: Onto-NoSQL",2020,"IAENG International Journal of Computer Science","47","4",,"1","10",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102401035&partnerID=40&md5=202a2d28c2e66c95ce7519fcc39847fc",Article,"Final","",Scopus,2-s2.0-85102401035
"Namdeo, B., Suman, U.","57214105184;36700382100;","Performance analysis of schema design approaches for migration from RDBMS to NOSQL databases",2020,"Lecture Notes in Networks and Systems","94",,,"413","424",,,"10.1007/978-981-15-0694-9_39","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078264134&doi=10.1007%2f978-981-15-0694-9_39&partnerID=40&md5=c33697f3dfa4f3daffff8b7bb838bb8a",Book Chapter,"Final","",Scopus,2-s2.0-85078264134
"Viloria, A., Sierra, D.M., de la Hoz, L., Bohórquez, M.O., Bilbao, O.R., Pichón, A.R., Fuentes, J.P., Hernández-Palma, H.","57192711776;57201492088;57211992926;57211992053;57211143338;57211989527;57211641264;57210095238;","NoSQL Database for Storing Historic Records in Monitoring Systems: Selection Process",2020,"Advances in Intelligent Systems and Computing","1039",,,"336","344",,2,"10.1007/978-3-030-30465-2_38","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075595867&doi=10.1007%2f978-3-030-30465-2_38&partnerID=40&md5=e780de0292d81c20a8156ad34091743a",Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-85075595867
"Dehdouh, K., Boussaid, O., Bentayeb, F.","56347659700;8383254700;8863516000;","Big Data warehouse: Building columnar NoSQL OLAP cubes",2020,"International Journal of Decision Support System Technology","12","1",,"1","24",,1,"10.4018/IJDSST.2020010101","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074516420&doi=10.4018%2fIJDSST.2020010101&partnerID=40&md5=c1cfd125b66eef93187e199df9a7a723",Article,"Final","",Scopus,2-s2.0-85074516420
"Telnarová, Z., Žáček, M., Smolka, P.","36919363900;55835862200;6506760946;","NoSQL databases for large volumes of data",2019,"AIP Conference Proceedings","2186",,"060009","","",,1,"10.1063/1.5137963","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076790674&doi=10.1063%2f1.5137963&partnerID=40&md5=a1fe55f0092381fcfba61fb2af377066",Conference Paper,"Final","",Scopus,2-s2.0-85076790674
"Bagga, S., Sharma, A.","57206892116;56712189400;","A review of NoSQL data stores",2019,"International Journal of Scientific and Technology Research","8","11",,"661","666",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075061981&partnerID=40&md5=9806b74f7598dde85e0e7d19490e4a09",Article,"Final","",Scopus,2-s2.0-85075061981
"Challal, Z., Bala, W., Mokeddem, H., Boukhalfa, K., Boussaid, O., Benkhelifa, E.","36702481000;57213521513;57213518887;8987187900;8383254700;23388184900;","Document-oriented versus Column-oriented Data Storage for Social Graph Data Warehouse",2019,"2019 6th International Conference on Social Networks Analysis, Management and Security, SNAMS 2019",,,"8931718","242","247",,,"10.1109/SNAMS.2019.8931718","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077815838&doi=10.1109%2fSNAMS.2019.8931718&partnerID=40&md5=fc609d7f2c2fdaaf7fa4119e58ddfb94",Conference Paper,"Final","",Scopus,2-s2.0-85077815838
