Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"NoSQL database systems: a survey and decision guidance","Computer Science - Research and Development","","32","3 - 4","10.1007/s00450-016-0334-3","Felix GessertWolfram WingerathSteffen FriedrichNorbert Ritter","2017","http://link.springer.com/article/10.1007/s00450-016-0334-3","Article"
"Fine-Grained Access Control Within NoSQL Document-Oriented Datastores","Data Science and Engineering","","1","3","10.1007/s41019-016-0015-z","Pietro ColomboElena Ferrari","2016","http://link.springer.com/article/10.1007/s41019-016-0015-z","Article"
"Benchmarking large-scale data management for Internet of Things","The Journal of Supercomputing","","75","12","10.1007/s11227-019-02984-6","Abdeltawab HendawiJayant GuptaJiayi LiuAnkur TeredesaiNaveen RamakrishnanMohak ShahShaker El-SappaghKyung-Sup KwakMohamed Ali","2019","http://link.springer.com/article/10.1007/s11227-019-02984-6","Article"
"Bringing SQL databases to key-based NoSQL databases: a canonical approach","Computing","","102","1","10.1007/s00607-019-00736-1","Geomar A. SchreinerDenio DuarteRonaldo dos Santos Mello","2020","http://link.springer.com/article/10.1007/s00607-019-00736-1","Article"
"Self-adapting data migration in the context of schema evolution in NoSQL databases","Distributed and Parallel Databases","","","","10.1007/s10619-021-07334-1","Andrea HillenbrandUta StörlShamil NabiyevMeike Klettke","2021","http://link.springer.com/article/10.1007/s10619-021-07334-1","Article"
"Spatial data extension for Cassandra NoSQL database","Journal of Big Data","","3","1","10.1186/s40537-016-0045-4","Mohamed Ben BrahimWassim DriraFethi FilaliNoureddine Hamdi","2016","http://link.springer.com/article/10.1186/s40537-016-0045-4","Article"
"GraphMap: scalable iterative graph processing using NoSQL","The Journal of Supercomputing","","76","9","10.1007/s11227-019-03097-w","Sayan GoswamiAyam PokhrelKisung LeeLing LiuQi ZhangYang Zhou","2020","http://link.springer.com/article/10.1007/s11227-019-03097-w","Article"
"NoSQL data management systems","Programming and Computer Software","","40","6","10.1134/S0361768814060152","S. D. KuznetsovA. V. Poskonin","2014","http://link.springer.com/article/10.1134/S0361768814060152","Article"
"A dataspace-based framework for OLAP analyses in a high-variety multistore","The VLDB Journal","","","","10.1007/s00778-021-00682-5","Chiara ForresiEnrico GallinucciMatteo GolfarelliHamdi Ben Hamadou","2021","http://link.springer.com/article/10.1007/s00778-021-00682-5","Article"
"Access control technologies for Big Data management systems: literature review and future trends","Cybersecurity","","2","1","10.1186/s42400-018-0020-9","Pietro ColomboElena Ferrari","2019","http://link.springer.com/article/10.1186/s42400-018-0020-9","Article"
"Heterogenität überwinden mit der Datentransformationssprache NotaQL","Datenbank-Spektrum","","16","1","10.1007/s13222-015-0207-0","Johannes SchildgenStefan Deßloch","2016","http://link.springer.com/article/10.1007/s13222-015-0207-0","Article"
"Toward building RDB to HBase conversion rules","Journal of Big Data","","4","1","10.1186/s40537-017-0071-x","R. OuanoukiA. AprilA. AbranA. GomezJ. M. Desharnais","2017","http://link.springer.com/article/10.1186/s40537-017-0071-x","Article"
"Integrating an openEHR-based personalized virtual model for the ageing population within HBase","BMC Medical Informatics and Decision Making","","19","1","10.1186/s12911-019-0745-8","Spyridon KalogiannisKonstantinos DeltouzosEvangelia I. ZacharakiAndreas VasilakisKonstantinos MoustakasJohn EllulVasileios Megalooikonomou","2019","http://link.springer.com/article/10.1186/s12911-019-0745-8","Article"
"Buchbesprechungen","HMD Praxis der Wirtschaftsinformatik","","51","4","10.1365/s40702-014-0055-7","Andreas Meier","2014","http://link.springer.com/article/10.1365/s40702-014-0055-7","Article"
"Polyglot Persistence","Datenbank-Spektrum","","15","3","10.1007/s13222-015-0194-1","Felix GessertNorbert Ritter","2015","http://link.springer.com/article/10.1007/s13222-015-0194-1","Article"
"Big Spatial Data Management for the Internet of Things: A Survey","Journal of Network and Systems Management","","28","4","10.1007/s10922-020-09549-6","Isam Mashhour Al JawarnehPaolo BellavistaAntonio CorradiLuca FoschiniRebecca Montanari","2020","http://link.springer.com/article/10.1007/s10922-020-09549-6","Article"
"SCOPE: self-adaptive and policy-based data management middleware for federated clouds","Journal of Internet Services and Applications","","10","1","10.1186/s13174-018-0101-8","Ansar RafiqueDimitri Van LanduytEddy TruyenVincent ReniersWouter Joosen","2019","http://link.springer.com/article/10.1186/s13174-018-0101-8","Article"
"A survey on data storage and placement methodologies for Cloud-Big Data ecosystem","Journal of Big Data","","6","1","10.1186/s40537-019-0178-3","Somnath MazumdarDaniel SeyboldKyriakos KritikosYiannis Verginadis","2019","http://link.springer.com/article/10.1186/s40537-019-0178-3","Article"
"Dissertationen","Datenbank-Spektrum","","17","3","10.1007/s13222-017-0270-9","Theo Härder","2017","http://link.springer.com/article/10.1007/s13222-017-0270-9","Article"
"A visual big data system for the prediction of weather-related variables: Jordan-Spain case study","Multimedia Tools and Applications","","","","10.1007/s11042-020-09848-9","Shadi AljawarnehJuan A. LaraMuneer Bani Yassein","2020","http://link.springer.com/article/10.1007/s11042-020-09848-9","Article"
"An exploratory teaching program in big data analysis for undergraduate students","Journal of Ambient Intelligence and Humanized Computing","","11","10","10.1007/s12652-020-02447-4","Süleyman Eken","2020","http://link.springer.com/article/10.1007/s12652-020-02447-4","Article"
"Implementierung von kryptographischen Sicherheitsverfahren für Apache Cassandra und Apache HBase","HMD Praxis der Wirtschaftsinformatik","","53","4","10.1365/s40702-016-0227-8","Tim WaageLena Wiese","2016","http://link.springer.com/article/10.1365/s40702-016-0227-8","Article"
"Big Data Semantics","Journal on Data Semantics","","7","2","10.1007/s13740-018-0086-2","Paolo CeravoloAntonia AzziniMarco AngeliniTiziana CatarciPhilippe Cudré-MaurouxErnesto DamianiAlexandra MazakMaurice Van KeulenMustafa JarrarGiuseppe SantucciKai-Uwe SattlerMonica ScannapiecoManuel WimmerRobert WrembelFadi Zaraket","2018","http://link.springer.com/article/10.1007/s13740-018-0086-2","Article"
"Dissertationen","Datenbank-Spektrum","","18","1","10.1007/s13222-018-0280-2","Theo Härder","2018","http://link.springer.com/article/10.1007/s13222-018-0280-2","Article"
"Review of social media analytics process and Big Data pipeline","Social Network Analysis and Mining","","8","1","10.1007/s13278-018-0507-0","Hiba SebeiMohamed Ali Hadj TaiebMohamed Ben Aouicha","2018","http://link.springer.com/article/10.1007/s13278-018-0507-0","Article"
"Efficient Buffer Management for Tree Indexes on Solid State Drives","International Journal of Parallel Programming","","44","1","10.1007/s10766-014-0340-7","Chengcheng YangPeiquan JinLihua YuePuyuan Yang","2016","http://link.springer.com/article/10.1007/s10766-014-0340-7","Article"
"Big data and rule-based recommendation system in Internet of Things","Cluster Computing","","22","1","10.1007/s10586-017-1078-y","Hanjo JeongByeonghwa ParkMinwoo ParkKi-Bong KimKiseok Choi","2019","http://link.springer.com/article/10.1007/s10586-017-1078-y","Article"
