"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Evaluation of NoSQL prototypes for the CMS conditions database","R. Sipos",CMS Collaboration,"2015 IEEE Nuclear Science Symposium and Medical Imaging Conference (NSS/MIC)","6 Oct 2016","2015","","","1","7","With the restart of the LHC in 2015, the growth of the CMS conditions dataset will continue, therefore the need of a consistent and highly available access to the conditions makes a great cause to revisit different aspects of the current data storage solutions. We present a study of alternative data storage backends for the CMS Conditions Databases, evaluating some of the most popular NoSQL ones to support a key-value representation of the CMS conditions. In addition to the baseline performance comparison between a document store, a column-oriented, and a plain key-value store, the access layer for these databases in the CMS software was developed, in order to provide transparent support for these alternative data stores in the CMS context. The necessary changes in the software infrastructure, and in the modeling approaches are also discussed in this paper. We also discuss the validation phase, which plays a key role in the optimization of the different solutions with fine-tuning critical performance factors. In this paper we present a performance comparison between the NoSQL prototypes and the current Oracle solution, using the real dataset, accessed by the CMS software framework.","","978-1-4673-9862-6","10.1109/NSSMIC.2015.7581881","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7581881","","Testing;Payloads;Software;Distributed databases;Routing;Prototypes","relational databases;storage management","NoSQL prototype evaluation;CMS condition database;data storage backends;key-value representation;document store;plain key-value store;column-oriented store;fine-tuning critical performance factors;Oracle solution;CMS software framework","","","","11","","6 Oct 2016","","","IEEE","IEEE Conferences"
"Design and implementation of hardware cache mechanism and NIC for column-oriented databases","A. Hamada; H. Matsutani","Dept. of ICS, Keio University, 3-14-1 Hiyoshi, Kohoku-ku, Yokohama, Japan; Dept. of ICS, Keio University, 3-14-1 Hiyoshi, Kohoku-ku, Yokohama, Japan","2016 International Conference on ReConFigurable Computing and FPGAs (ReConFig)","16 Feb 2017","2016","","","1","6","Recently some researches to utilize big data efficiently have been made vigorously. To store and process big data, structured storages (NOSQLs) that have high degree of horizontal scalability have attracted a lot of attention. Key-value stores and column-oriented stores are known as famous examples of structured storages. Especially, column-oriented stores can store variable numbers of columns for each row while maintaining high scalability. Moreover, range queries (scan operations) are supported in column-oriented stores. This paper proposes hardware cache mechanism using FPGA NIC to accelerate column-oriented databases. In this paper, it is assumed that column-oriented stores running on database servers are accessed by clients via a network. This paper aims to improve performance and power efficiency of column-oriented stores by introducing an FPGA-based 10GbE network interface (NIC) and a hardware cache mechanism (HBC) implemented on the NIC. HBC stores query results (sorted rows) as a key-value form in the DRAM implemented on the FPGA NIC, and the requested data can be returned to clients immediately if the query result has been cached. Existing work that aims to accelerate structured storages by hardware have focused only on key-value stores while column-oriented stores that support range queries (scan operations) have not been addressed. HBC deploys methods that address data mappings and range queries of caches using specific data structures that can be represented in binary-tree forms and this paper shows HBC can accelerate range queries by hardware. In experiments of this paper, HBase is running on an application layer, while HBC is implemented on an FPGA-based NIC. This paper shows that improvement of power efficiency and significant performance improvement can be achieved by the proposed HBC and also pros and cons of the proposed HBC are discussed.","","978-1-5090-3707-0","10.1109/ReConFig.2016.7857164","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7857164","","Field programmable gate arrays;Hardware;Databases;Acceleration;Software;Random access memory;Servers","Big Data;cache storage;client-server systems;data structures;field programmable gate arrays;network interfaces;query processing;relational databases;SQL","hardware cache mechanism;column-oriented databases;Big Data;structured storages;NOSQL;horizontal scalability;column-oriented stores;FPGA NIC;database servers;power efficiency;FPGA-based network interface;HBC;query results;DRAM;data mappings;data structures;binary-tree forms;HBase","","","","13","","16 Feb 2017","","","IEEE","IEEE Conferences"
"Columnar NoSQL CUBE: Agregation operator for columnar NoSQL data warehouse","K. Dehdouh; F. Bentayeb; O. Boussaid; N. Kabachi","ERIC laboratory, University of Lyon 2, 5 avenue Pierre Mendes-France, 69676 Bron Cedex, France; ERIC laboratory, University of Lyon 2, 5 avenue Pierre Mendes-France, 69676 Bron Cedex, France; ERIC laboratory, University of Lyon 2, 5 avenue Pierre Mendes-France, 69676 Bron Cedex, France; ERIC laboratory, University of Lyon 2, 5 avenue Pierre Mendes-France, 69676 Bron Cedex, France","2014 IEEE International Conference on Systems, Man, and Cybernetics (SMC)","4 Dec 2014","2014","","","3828","3833","The emergence of large volumes of data imposed by the major players of the web requires new management models and new data storage architectures and treatment able to find information quickly in a large volume of data. The column-oriented NoSQL (Not Only SQL) database provide for big data the most suitable model to the data warehouse and the structure of multidimensional data in OLAP cube form. However, in the absence of OLAP cube computation operators, we propose in this paper, a new aggregation operator called CN-CUBE (Columnar NoSQL CUBE), which allows data cubes to be computed from data warehouses stored in column-oriented NoSQL database management system. We implemented the CNCUBE operator using the SQL Phoenix interface of HBase DBMS and conducted experiments on a public data warehouse in a distributed environment produced using the Hadoop platform. Thus we have shown that our CN-CUBE operator has OLAP cubes computation times very suitable for NoSQL warehouses.","1062-922X","978-1-4799-3840-7","10.1109/SMC.2014.6974527","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6974527","","Accidents;Data warehouses;Distributed databases;Big data;Roads;Data models","data structures;data warehouses;distributed databases;Internet;public domain software;software architecture;SQL;storage management","columnar NoSQL cube;aggregation operator;columnar NoSQL data warehouse;Web;management models;data storage architectures;column-oriented NoSQL database;column-oriented not only SQL database;multidimensional data structure;OLAP cube form;CN-CUBE operator;SQL Phoenix interface;HBase DBMS;Hadoop platform;online analytical processing","","15","","20","","4 Dec 2014","","","IEEE","IEEE Conferences"
"Multiple Nested Schema of HBase for Migration from SQL","G. Zhao; L. Li; Z. Li; Q. Lin","Sch. of Comput. Sci., South China Normal Univ., Guangzhou, China; Sch. of Comput. Sci., South China Normal Univ., Guangzhou, China; Sch. of Comput. Sci., South China Normal Univ., Guangzhou, China; Sch. of Comput. Sci., South China Normal Univ., Guangzhou, China","2014 Ninth International Conference on P2P, Parallel, Grid, Cloud and Internet Computing","29 Jan 2015","2014","","","338","343","With the development of web application, the demand of query performance and expansion becomes increasingly necessary. Relational database seems hardly handling with this, more and more applications choose migrating to NoSQL database such as HBase. The features of high reliability, high performance, column-oriented storage, high scalability, and real-time read and write, won favor from public. In this paper, we use two concepts Nested and Multiple Nested to describe join keys reference relationship between tables in relational database. Because HBase only support the column family nest the column qualifier, it is hard to deal with the situation of Multiple Nested after data migration from relational database meanwhile ensure high query performance in transformed HBase. We propose a novel HBase schema for migrating from relational database to HBase, which supports multiple nested. With this schema in HBase, query only once on one table for any query is needed to get the data, and query efficiency has been greatly improved, especially for join query. Additionally, index migration is available in this scheme, which supports faster query. Finally, this paper proposes a mapping algorithm to find column name corresponding to attribute in relational database.","","978-1-4799-4171-1","10.1109/3PGCIC.2014.127","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7024606","Schema conversion;Multiple nested;SQL;HBase","Relational databases;Data models;Transforms;Algorithm design and analysis;Concrete;Cloud computing","query processing;relational databases;SQL","Web application;query performance;query expansion;relational database;NoSQL database;HBase;multiple nested schema;column family nest;column qualifier;data migration;query efficiency;join query;index migration;mapping algorithm;column name","","12","","7","","29 Jan 2015","","","IEEE","IEEE Conferences"
"Modeling and querying data in NoSQL databases","K. Kaur; R. Rani","Computer Sci. and Engg. Deptt., Thapar University, Patiala, Punjab, India 147004; Computer Sci. and Engg. Deptt., Thapar University, Patiala, Punjab, India 147004","2013 IEEE International Conference on Big Data","23 Dec 2013","2013","","","1","7","Relational databases are providing storage for several decades now. However for today's interactive web and mobile applications the importance of flexibility and scalability in data model can not be over-stated. The term NoSQL broadly covers all non-relational databases that provide schema-less and scalable model. NoSQL databases which are also termed as Internetage databases are currently being used by Google, Amazon, Facebook and many other major organizations operating in the era of Web 2.0. Different classes of NoSQL databases namely key-value pair, document, column-oriented and graph databases enable programmers to model the data closer to the format as used in their application. In this paper, data modeling and query syntax of relational and some classes of NoSQL databases have been explained with the help of an case study of a news website like Slashdot.","","978-1-4799-1293-3","10.1109/BigData.2013.6691765","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6691765","","Data models;Relational databases;Database languages;Scalability;Ciphers;Java","data handling;query processing;relational databases","data modeling;data querying;NoSQL databases;relational databases;interactive Web;mobile applications;data model flexibility;data model scalability;Internet-age databases;key-value pair database;document database;column-oriented database;graph database;query syntax;Slashdot;news Web site","","51","1","37","","23 Dec 2013","","","IEEE","IEEE Conferences"
"An OAIS-Based Hospital Information System on the Cloud: Analysis of a NoSQL Column-Oriented Approach","A. Celesti; M. Fazio; A. Romano; A. Bramanti; P. Bramanti; M. Villari","Scientific Research Organisational Unit, University of Messina, Messina, Italy; Department of Engineering, University of Messina, Messina, Italy; Department of Engineering, University of Messina, Italy; ISASI-CNR, Messina, Italy; IRCCS Centro Neurolesi “Bonino Pulejo,” Messina, Italy; Department of Engineering, University of Messina, Italy","IEEE Journal of Biomedical and Health Informatics","3 May 2018","2018","22","3","912","918","The Open Archive Information System (OAIS) is a reference model for organizing people and resources in a system, and it is already adopted in care centers and medical systems to efficiently manage clinical data, medical personnel, and patients. Archival storage systems are typically implemented using traditional relational database systems, but the relation-oriented technology strongly limits the efficiency in the management of huge amount of patients' clinical data, especially in emerging cloud-based, that are distributed. In this paper, we present an OAIS healthcare architecture useful to manage a huge amount of HL7 clinical documents in a scalable way. Specifically, it is based on a NoSQL column-oriented Data Base Management System deployed in the cloud, thus to benefit from a big tables and wide rows available over a virtual distributed infrastructure. We developed a prototype of the proposed architecture at the IRCCS, and we evaluated its efficiency in a real case of study.","2168-2208","","10.1109/JBHI.2017.2681126","European Union's Seventh Framework Programme Project frontierCities(grant numbers:632853); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7875499","Big data;Cassandra;clinical record;cloud computing;hospital information system;HL7;OAIS","Cloud computing;Computer architecture;Big Data;Hospitals;Security","cloud computing;health care;medical information systems;NoSQL databases;records management;relational databases","medical personnel;archival storage systems;traditional relational database systems;patients;OAIS healthcare architecture;HL7 clinical documents;Data Base Management System;hospital Information System;NoSQL column-oriented approach;Open Archive Information System;reference model;care centers;medical systems;clinical data","Cloud Computing;Electronic Health Records;Hospital Information Systems","5","","28","","10 Mar 2017","","","IEEE","IEEE Journals"
"Big database stores a review on various big data datastores","K. George; T. Mathew","Department of Computer Science and Engineering, Mar Baselios College of Engineering and Technology, Trivandrum, India; Department of Computer Science and Engineering, Mar Baselios College of Engineering and Technology, Trivandrum, India","2015 International Conference on Green Computing and Internet of Things (ICGCIoT)","14 Jan 2016","2015","","","567","573","In this age where there is a massive explosion in the data in our surroundings, the traditional way of actually storing and processing the data is no longer feasible. Moreover, the unstructured data that is present cannot be processed by the conventional ways. With the emergence of this data explosion also known as Big Data, a lot of importance has given to actually process and more importantly analyze the data to get the best results being in terms of decision making or predicting the future evens based on the past data at hand. The traditional SQLs have become impractical to process the latest data inflow as it lacks the structure, elasticity requirements and the high scalability. NoSQL or what can be known as Not Only SQL actually help find by a way out of the traditional approach and help process the unstructured data. For Big Data to function at its best, it needs the help of specialized databases that help in storing and processing data when needed. There are 4 main categories of the Datastores used in Big Data namely Key-Value Pair Datastore, Column Oriented Datastore, Document Oriented Datastore and Graph Datastores.","","978-1-4673-7910-6","10.1109/ICGCIoT.2015.7380529","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7380529","","Big data;Databases;Peer-to-peer computing;Scalability;Explosions;Internet;Servers","Big Data;SQL","Big Data datastores;data processing;data storage;unstructured data;data inflow;NoSQL;not-only SQL;key-value pair datastore;column oriented datastore;document oriented datastore;graph datastores","","3","","46","","14 Jan 2016","","","IEEE","IEEE Conferences"
"An Evolutionary Algorithm for Column Family Schema Optimization in HBase","F. Yang; D. Milosevic; J. Cao","Dept. of CSE, Shanghai Jiaotong Univ., Shanghai, China; ZANOX AG, Berlin, Germany; Dept. of CSE, Shanghai Jiaotong Univ., Shanghai, China","2015 IEEE First International Conference on Big Data Computing Service and Applications","13 Aug 2015","2015","","","439","445","Apache HBase is a column-oriented NoSQL key-value store built on top of the Hadoop distributed file-system. Logically, columns in HBase are grouped into column families. Physically, all columns in one column family are stored in the same set of files. Therefore the division of column families is closely related to the response time for a specific row query. In this paper, one new Evolutionary Algorithm is designed and applied to find the optimum column family schema for the given user queries. The reading performance of the optimized column family schema is evaluated on a real dataset provided by ZANOX AG, which contains 2.6 million rows of aggregated tracking data and 1.3 million user queries. It is shown that by using the found optimized column family schema, the reading performance of HBase is improved with a statistical significance. User queries from a testing set show that the average response time is reduced by up to 72% compared to un-optimized column family schemas.","","978-1-4799-8128-1","10.1109/BigDataService.2015.20","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7184913","HBase;NoSQL;Column Family;Column Layout;Schema Optimization;Evolutionary Algorithm","Optimization;Layout;Conferences;Big data;Evolutionary computation;Genetic algorithms;Algorithm design and analysis","data handling;evolutionary computation;parallel processing;query processing;SQL;statistical analysis","evolutionary algorithm;column family schema optimization;Apache HBase;column-oriented NoSQL key-value store;Hadoop distributed file-system;user queries;ZANOX AG;user queries;statistical significance","","8","","30","","13 Aug 2015","","","IEEE","IEEE Conferences"
"Developing Multiple Nested Schema to Reduce Data Redundancy in CONoSQLDB Schema","Sutedi; T. B. Adji; N. A. Setiawan","Department of Information System, Institut Informatika dan Bisnis Darmajaya, Lampung, Indonesia; Department of Electrical Engineering and Information Technology, Universitas Gadjah Mada, Yogyakarta, Indonesia; Department of Electrical Engineering and Information Technology, Universitas Gadjah Mada, Yogyakarta, Indonesia","2018 International Conference on Applied Information Technology and Innovation (ICAITI)","11 Apr 2019","2018","","","12","18","The Corporate's interest of cloud computing based system continues accelerating due to its efficiency, promising performance and better scalability. Most of these systems use the Not Only SQL (NoSQL) database. The database has different characteristics from the relational database. Data migration from a relational database to a column-oriented NoSQL database (CONoSQLDB) can use the concept of Multiple Nested Schema. The concept has proved to be effectual to boost query performance but at the cost of high data redundancy. This study proposes a new conversion method called Enhanced Multiple Nested Schema, developed of Multiple Nested Schema by adding rules to identify and eliminate inter-table transitive dependency-one of the major causes of data redundancy. We aim to reduce data redundancy in CONoSQLDB Schema. The objective is to generate CONoSQLDB schema much better. Previous research did not pay attention to transitive dependency problems when doing schema conversion. The proposed conversion mechanism produces an efficient CONoSQLDB database schema. However, the schema guarantees complete data and allows queries quickly. This means that the additional rules proposed in this study can improve the CONoSQLDB schema generated using the previous method.","","978-1-5386-6726-2","10.1109/ICAITI.2018.8686736","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8686736","conversion;migration;SQL to NoSQL;transitive dependency;column-oriented NoSQL","","cloud computing;data reduction;NoSQL databases;query processing;relational databases","cloud computing based system;SQL database;relational database;data migration;column-oriented NoSQL database;data redundancy reduction;multiple nested schema;CONoSQLDB database schema;query performance;cloud computing","","","","14","","11 Apr 2019","","","IEEE","IEEE Conferences"
"An in-kernel NOSQL cache for range queries using FPGA NIC","K. Tamura; H. Matsutani","Dept. of ICS, Keio University, 3-14-1 Hiyoshi, Kohoku-ku, Yokohama, Japan; Dept. of ICS, Keio University, 3-14-1 Hiyoshi, Kohoku-ku, Yokohama, Japan","2016 International Conference on FPGA Reconfiguration for General-Purpose Computing (FPGA4GPC)","25 Jul 2016","2016","","","13","18","To make use of big data, various NOSQL data stores have been deployed, such as key-value stores and column-oriented stores. NOSQL data stores typically achieve a high degree of scalability, while specialized for some specific purposes; thus, Polyglot persistence that employs multiple NOSQL data stores complementally is a practical choice toward a high diversity of application demands. We assume various NOSQL data stores running on database servers are accessed by clients via a network. This paper aims to improve performance of the Polyglot persistence by introducing an FPGA-based 10GbE network interface (NIC) and In-Kernel NOSQL Cache (IKNC) implemented in the NIC device driver. IKNC stores query results as a key-value form in a host memory, and the requested data can be returned to clients immediately if the query result has been cached. In the IKNC keyvalue pair, the key is a hashed value of a given search query and the value is a query result of the search query. Existing works have focused only on key-value stores, while that for column-oriented stores that support range queries (e.g., scan operation) has not been addressed. In this paper, we also propose two cache strategies of IKNC for column-oriented stores. In our experiments, Apache HBase is running on an application layer, while our IKNC with the proposed cache strategies is implemented on an FPGA-based NIC and its device driver. A significant performance improvement is achieved by the proposed IKNC and pros and cons of the proposed two cache strategies are demonstrated.","","978-1-5090-1359-3","10.1109/FPGA4GPC.2016.7518528","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7518528","","Servers;Kernel;Field programmable gate arrays;Data structures;Network interfaces;Protocols","Big Data;cache storage;field programmable gate arrays;query processing;SQL","in-kernel NOSQL cache;range queries;FPGA NIC;big data;NOSQL data stores;Polyglot persistence;network interface;column-oriented stores","","1","","19","","25 Jul 2016","","","IEEE","IEEE Conferences"
