Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Data storage optimization strategy in distributed column-oriented database by considering spatial adjacency","Cluster Computing","","20","4","10.1007/s10586-017-1081-3","Kun ZhengDanpeng GuFalin FangMiao ZhangKang ZhengQi Li","2017","http://link.springer.com/article/10.1007/s10586-017-1081-3","Article"
"Bringing SQL databases to key-based NoSQL databases: a canonical approach","Computing","","102","1","10.1007/s00607-019-00736-1","Geomar A. SchreinerDenio DuarteRonaldo dos Santos Mello","2020","http://link.springer.com/article/10.1007/s00607-019-00736-1","Article"
"Architectural assessment of NoSQL and NewSQL systems","Distributed and Parallel Databases","","38","4","10.1007/s10619-020-07310-1","Natalia ChaudhryMuhammad Murtaza Yousaf","2020","http://link.springer.com/article/10.1007/s10619-020-07310-1","Article"
"Modeling temporal aspects of sensor data for MongoDB NoSQL database","Journal of Big Data","","4","1","10.1186/s40537-017-0068-5","Nadeem Qaisar MehmoodRosario CulmoneLeonardo Mostarda","2017","http://link.springer.com/article/10.1186/s40537-017-0068-5","Article"
"Schema design advisor model for RDBMS to NoSQL database migration","International Journal of Information Technology","","13","1","10.1007/s41870-020-00515-8","Basant NamdeoUgrasen Suman","2021","http://link.springer.com/article/10.1007/s41870-020-00515-8","Article"
"Techniques and guidelines for effective migration from RDBMS to NoSQL","The Journal of Supercomputing","","76","10","10.1007/s11227-018-2361-2","Ho-Jun KimEun-Jeong KoYoung-Ho JeonKi-Hoon Lee","2020","http://link.springer.com/article/10.1007/s11227-018-2361-2","Article"
"Big data storage technologies: a survey","Frontiers of Information Technology & Electronic Engineering","","18","8","10.1631/FITEE.1500441","Aisha SiddiqaAhmad KarimAbdullah Gani","2017","http://link.springer.com/article/10.1631/FITEE.1500441","Article"
"Column Access-aware In-stream Data Cache with Stream Processing Framework","Journal of Signal Processing Systems","","86","2 - 3","10.1007/s11265-016-1117-6","Kun MaBo Yang","2017","http://link.springer.com/article/10.1007/s11265-016-1117-6","Article"
"A dynamic data dissemination mechanism for Cassandra NoSQL data store","The Journal of Supercomputing","","75","11","10.1007/s11227-019-02959-7","Elahe KhatibiSeyedeh Leili Mirtaheri","2019","http://link.springer.com/article/10.1007/s11227-019-02959-7","Article"
"Survey of Large-Scale Data Management Systems for Big Data Applications","Journal of Computer Science and Technology","","30","1","10.1007/s11390-015-1511-8","Lengdong WuLiyan YuanJiahuai You","2015","http://link.springer.com/article/10.1007/s11390-015-1511-8","Article"
"Data management in cloud environments: NoSQL and NewSQL data stores","Journal of Cloud Computing: Advances, Systems and Applications","","2","1","10.1186/2192-113X-2-22","Katarina GrolingerWilson A HigashinoAbhinav TiwariMiriam AM Capretz","2013","http://link.springer.com/article/10.1186/2192-113X-2-22","Article"
"Transaction processing in consistency-aware user’s applications deployed on NoSQL databases","Human-centric Computing and Information Sciences","","7","1","10.1186/s13673-017-0088-3","María Teresa González-AparicioAdewole OgunyadekaMuhammad YounasJavier TuyaRubén Casado","2017","http://link.springer.com/article/10.1186/s13673-017-0088-3","Article"
"High dimensional biological data retrieval optimization with NoSQL technology","BMC Genomics","","15","8","10.1186/1471-2164-15-S8-S3","Shicai WangIoannis PandisChao WuSijin HeDavid JohnsonIbrahim EmamFlorian GuittonYike Guo","2014","http://link.springer.com/article/10.1186/1471-2164-15-S8-S3","Article"
"Cloud-Based NoSQL Open Database of Pulmonary Nodules for Computer-Aided Lung Cancer Diagnosis and Reproducible Research","Journal of Digital Imaging","","29","6","10.1007/s10278-016-9894-9","José Raniery Ferreira JuniorMarcelo Costa OliveiraPaulo Mazzoncini de Azevedo-Marques","2016","http://link.springer.com/article/10.1007/s10278-016-9894-9","Article"
"JS4Geo: a canonical JSON Schema for geographic data suitable to NoSQL databases","GeoInformatica","","24","4","10.1007/s10707-020-00415-w","Angelo A. FrozzaRonaldo dos S. Mello","2020","http://link.springer.com/article/10.1007/s10707-020-00415-w","Article"
"The big data system, components, tools, and technologies: a survey","Knowledge and Information Systems","","60","3","10.1007/s10115-018-1248-0","T. Ramalingeswara RaoPabitra MitraRavindara BhattA. Goswami","2019","http://link.springer.com/article/10.1007/s10115-018-1248-0","Article"
"SODA: A framework for spatial observation data analysis","Distributed and Parallel Databases","","34","1","10.1007/s10619-014-7165-7","Sebastián VillarroyaJosé R. R. ViqueiraManuel A. RegueiroJosé A. TaboadaJosé M. Cotos","2016","http://link.springer.com/article/10.1007/s10619-014-7165-7","Article"
"A Perspective on the Challenges and Opportunities for Privacy-Aware Big Transportation Data","Journal of Big Data Analytics in Transportation","","1","1","10.1007/s42421-019-00001-z","Godwin Badu-MarfoBilal FarooqZachary Patterson","2019","http://link.springer.com/article/10.1007/s42421-019-00001-z","Article"
"HBase storage schemas for massive spatial vector data","Cluster Computing","","20","4","10.1007/s10586-017-1253-1","Yong WangChengjun LiMeng LiZhenling Liu","2017","http://link.springer.com/article/10.1007/s10586-017-1253-1","Article"
"An efficient storage and service method for multi-source merging meteorological big data in cloud environment","EURASIP Journal on Wireless Communications and Networking","","2019","1","10.1186/s13638-019-1576-0","Ming YangWenchun HeZhiqiang ZhangYongjun XuHeping YangYufeng ChenXiaolong Xu","2019","http://link.springer.com/article/10.1186/s13638-019-1576-0","Article"
"A survey of RDF management technologies and benchmark datasets","Journal of Ambient Intelligence and Humanized Computing","","9","5","10.1007/s12652-018-0876-2","Zhengyu PanTao ZhuHong LiuHuansheng Ning","2018","http://link.springer.com/article/10.1007/s12652-018-0876-2","Article"
"A survey on data storage and placement methodologies for Cloud-Big Data ecosystem","Journal of Big Data","","6","1","10.1186/s40537-019-0178-3","Somnath MazumdarDaniel SeyboldKyriakos KritikosYiannis Verginadis","2019","http://link.springer.com/article/10.1186/s40537-019-0178-3","Article"
"Toward building RDB to HBase conversion rules","Journal of Big Data","","4","1","10.1186/s40537-017-0071-x","R. OuanoukiA. AprilA. AbranA. GomezJ. M. Desharnais","2017","http://link.springer.com/article/10.1186/s40537-017-0071-x","Article"
"HC-Store: putting MapReduce’s foot in two camps","Frontiers of Computer Science","","8","6","10.1007/s11704-014-3376-3","Huiju WangFurong LiXuan ZhouYu CaoXiongpai QinJidong ChenShan Wang","2014","http://link.springer.com/article/10.1007/s11704-014-3376-3","Article"
"Big Data: A Survey","Mobile Networks and Applications","","19","2","10.1007/s11036-013-0489-0","Min ChenShiwen MaoYunhao Liu","2014","http://link.springer.com/article/10.1007/s11036-013-0489-0","Article"
"Big data challenges in ocean observation: a survey","Personal and Ubiquitous Computing","","21","1","10.1007/s00779-016-0980-2","Yingjian LiuMeng QiuChao LiuZhongwen Guo","2017","http://link.springer.com/article/10.1007/s00779-016-0980-2","Article"
"A repository for scalable model management","Software & Systems Modeling","","14","1","10.1007/s10270-013-0326-8","Javier Espinazo PagánJesús Sánchez CuadradoJesús García Molina","2015","http://link.springer.com/article/10.1007/s10270-013-0326-8","Article"
"MongoDB-Based Modular Ontology Building for Big Data Integration","Journal on Data Semantics","","7","1","10.1007/s13740-017-0081-z","Hanen AbbesFaiez Gargouri","2018","http://link.springer.com/article/10.1007/s13740-017-0081-z","Article"
"A survey of issues and solutions of health data management systems","Innovations in Systems and Software Engineering","","15","2","10.1007/s11334-019-00336-4","Anindita Sarkar MondalSarmistha NeogyNandini MukherjeeSamiran Chattopadhyay","2019","http://link.springer.com/article/10.1007/s11334-019-00336-4","Article"
"Towards an agent based traffic regulation and recommendation system for the on-road air quality control","SpringerPlus","","5","1","10.1186/s40064-016-3282-2","Abderrahmane SadiqAbdelaziz El FazzikiJamal OuarzaziMohamed Sadgal","2016","http://link.springer.com/article/10.1186/s40064-016-3282-2","Article"
"Efficient storage of heterogeneous geospatial data in spatial databases","Journal of Big Data","","6","1","10.1186/s40537-019-0262-8","Atle Frenvik Sveen","2019","http://link.springer.com/article/10.1186/s40537-019-0262-8","Article"
"Precomputing architecture for flexible and efficient big data analytics","Vietnam Journal of Computer Science","","5","2","10.1007/s40595-018-0109-9","Nigel FranciscusXuguang RenBela Stantic","2018","http://link.springer.com/article/10.1007/s40595-018-0109-9","Article"
"Implementation of a Big Data Accessing and Processing Platform for Medical Records in Cloud","Journal of Medical Systems","","41","10","10.1007/s10916-017-0777-5","Chao-Tung YangJung-Chun LiuShuo-Tsung ChenHsin-Wen Lu","2017","http://link.springer.com/article/10.1007/s10916-017-0777-5","Article"
"A basis of spatial big data analysis with map-matching system","Cluster Computing","","20","3","10.1007/s10586-017-1014-1","Wonhee ChoEunmi Choi","2017","http://link.springer.com/article/10.1007/s10586-017-1014-1","Article"
"Semantic-based Big Data integration framework using scalable distributed ontology matching strategy","Distributed and Parallel Databases","","","","10.1007/s10619-021-07321-6","Imadeddine MountasserBrahim OuhbiFerdaous HdioudBouchra Frikh","2021","http://link.springer.com/article/10.1007/s10619-021-07321-6","Article"
"F l u χ: a quality-driven dataflow model for data intensive computing","Journal of Internet Services and Applications","","4","1","10.1186/1869-0238-4-12","Sérgio EstevesJoão Nuno SilvaLuís Veiga","2013","http://link.springer.com/article/10.1186/1869-0238-4-12","Article"
"A Query-oriented Adaptive Indexing Technique for Smart Grid Big Data Analytics","Journal of Signal Processing Systems","","90","8 - 9","10.1007/s11265-017-1269-z","Chang WangYongxin ZhuYan MaMeikang QiuBin LiuJunjie HouYulan ShenWeiwei Shi","2018","http://link.springer.com/article/10.1007/s11265-017-1269-z","Article"
"Data-Intensive Cloud Computing: Requirements, Expectations, Challenges, and Solutions","Journal of Grid Computing","","11","2","10.1007/s10723-013-9255-6","Jawwad ShamsiMuhammad Ali KhojayeMohammad Ali Qasmi","2013","http://link.springer.com/article/10.1007/s10723-013-9255-6","Article"
"Extending inverse frequent itemsets mining to generate realistic datasets: complexity, accuracy and emerging applications","Data Mining and Knowledge Discovery","","33","6","10.1007/s10618-019-00643-1","Domenico SaccáEdoardo SerraAntonino Rullo","2019","http://link.springer.com/article/10.1007/s10618-019-00643-1","Article"
"Improvement of path analysis algorithm in social networks based on HBase","Journal of Combinatorial Optimization","","28","3","10.1007/s10878-013-9675-z","Yan QiangBo PeiWeili WuJuanjuan ZhaoXiaolong ZhangYue LiLidong Wu","2014","http://link.springer.com/article/10.1007/s10878-013-9675-z","Article"
"mDHT: a multi-level-indexed DHT algorithm to extra-large-scale data retrieval on HDFS/Hadoop architecture","Personal and Ubiquitous Computing","","18","8","10.1007/s00779-014-0784-1","Yu TangAihua FanYingjie WangYuanzhe Yao","2014","http://link.springer.com/article/10.1007/s00779-014-0784-1","Article"
"Social BIMCloud: a distributed cloud-based BIM platform for object-based lifecycle information exchange","Visualization in Engineering","","3","1","10.1186/s40327-015-0022-6","Moumita DasJack CP ChengSrinath S Kumar","2015","http://link.springer.com/article/10.1186/s40327-015-0022-6","Article"
