Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Sharma, B., Bansal, P., Chugh, M., Chauhan, A., Anand, P., Hua, Q., Jain, A.","57211884324;25721744600;57226523590;57226531489;57226538008;57201726103;57214112157;","Benchmarking geospatial database on Kubernetes cluster",2021,"Eurasip Journal on Advances in Signal Processing","2021","1","43","","",,,"10.1186/s13634-021-00754-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111813331&doi=10.1186%2fs13634-021-00754-2&partnerID=40&md5=817526285987ff40aed0ba959debb8fb",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85111813331
"Hein, N., Blankenbach, J.","57225339807;8587829300;","Evaluation of a NoSQL database for storing big geospatial raster data",2021,"GI_Forum","9","1",,"76","84",,,"10.1553/GISCIENCE2021_01_S76","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109964899&doi=10.1553%2fGISCIENCE2021_01_S76&partnerID=40&md5=f52f2a22c2db6d093775ca225f6136e7",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85109964899
"Chen, M., Li, L., Xie, P., Fu, S., He, L., Zhou, X.","57217224541;17434727700;49362558800;13005073800;8240830000;57189332952;","A Data Management System for Big Geospatial Data Based on Phoenix [基于Phoenix的地理空间大数据管理系统]",2020,"Wuhan Daxue Xuebao (Xinxi Kexue Ban)/Geomatics and Information Science of Wuhan University","45","5",,"719","727",,,"10.13203/j.whugis20180435","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086823879&doi=10.13203%2fj.whugis20180435&partnerID=40&md5=e3d90078027fae3c45269bb7d72e3872",Article,"Final","",Scopus,2-s2.0-85086823879
"Guo, D., Onstein, E.","57211579006;57196038819;","State-of-the-art geospatial information processing in NoSQL databases",2020,"ISPRS International Journal of Geo-Information","9","5","331","","",,3,"10.3390/ijgi9050331","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085680474&doi=10.3390%2fijgi9050331&partnerID=40&md5=059b8bc9fb0687fcd4aa68e432e31317",Review,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85085680474
"Brown, K.W.","57208390857;","Using Polygot Persistence with NoSQL Databases for Streaming Multimedia, Sensor, and Messaging Services in Autonomous Vehicles",2020,"SAE Technical Papers","2020-April","April",,"","",,,"10.4271/2020-01-0942","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083837107&doi=10.4271%2f2020-01-0942&partnerID=40&md5=571e117286dc0c9260ac3ecc06c9e9ce",Conference Paper,"Final","",Scopus,2-s2.0-85083837107
"Lv, Z., Li, X., Lv, H., Xiu, W.","55925162500;56829171600;57020785300;57204511851;","BIM Big Data Storage in WebVRGIS",2020,"IEEE Transactions on Industrial Informatics","16","4","8713581","2566","2573",,57,"10.1109/TII.2019.2916689","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078532298&doi=10.1109%2fTII.2019.2916689&partnerID=40&md5=d190d204b1980ff7c4e41b6844c4ce48",Article,"Final","",Scopus,2-s2.0-85078532298
"Amhar, F., Tampubolon, W., Silalahi, F.","55349344700;56540037400;57224197877;","Combination of non hadoop-bigdata &amp; relational DB",2020,"ACRS 2020 - 41st Asian Conference on Remote Sensing",,,,"","",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107220834&partnerID=40&md5=479b9d51e2404a3e3d51082d209f0b7e",Conference Paper,"Final","",Scopus,2-s2.0-85107220834
"Christidis, A., Moschoyiannis, S., Hsu, C.-H., Davies, R.","57215288397;9336130600;7404945944;57215279420;","Enabling Serverless Deployment of Large-Scale AI Workloads",2020,"IEEE Access","8",,"9055400","70150","70161",,4,"10.1109/ACCESS.2020.2985282","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084157100&doi=10.1109%2fACCESS.2020.2985282&partnerID=40&md5=59695581da143f8aa053e5ef1f9273c3",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85084157100
"Albrecht, C.M., Elmegreen, B., Gunawan, O., Hamann, H.F., Klein, L.J., Lu, S., Mariano, F., Siebenschuh, C., Schmude, J.","57188836432;35563011600;6602606689;7101822439;7202622188;56416816600;57215663275;57215600827;57215671241;","Next-generation geospatial-Temporal information technologies for disaster management",2020,"IBM Journal of Research and Development","64","1-2","8977382","","",,3,"10.1147/JRD.2020.2970903","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081585904&doi=10.1147%2fJRD.2020.2970903&partnerID=40&md5=33c1dd5dde0251e9bd1a6df6c048c473",Review,"Final","All Open Access, Bronze",Scopus,2-s2.0-85081585904
"Nassif, E.H., Hicham, H., Yaagoubi, R., Badir, H.","57211335583;57211333041;26325186800;35316852100;","Assessing NoSql Approaches for Spatial Big Data Management",2020,"Lecture Notes in Networks and Systems","92",,,"49","58",,,"10.1007/978-3-030-33103-0_6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073513302&doi=10.1007%2f978-3-030-33103-0_6&partnerID=40&md5=ab95689439d71a53cbab75985a86a592",Book Chapter,"Final","",Scopus,2-s2.0-85073513302
